"","country_group","platform","nps1","nps2","segment_size","revenue_2019_before1_mean","revenue_month_before1_mean","revenue_week_before1_mean","revenue_during1_mean","revenue_week_after1_mean","revenue_month_before2_mean","revenue_week_before2_mean","revenue_during2_mean","revenue_week_after2_mean","lootboxspend_2019_before1_mean","lootboxspend_month_before1_mean","lootboxspend_week_before1_mean","lootboxspend_during1_mean","lootboxspend_week_after1_mean","lootboxspend_month_before2_mean","lootboxspend_week_before2_mean","lootboxspend_during2_mean","lootboxspend_week_after2_mean","playtime_2019_before1_mean","playtime_month_before1_mean","playtime_week_before1_mean","playtime_during1_mean","playtime_week_after1_mean","playtime_month_before2_mean","playtime_week_before2_mean","playtime_during2_mean","playtime_week_after2_mean","revenue_2019_before1_sd","revenue_month_before1_sd","revenue_week_before1_sd","revenue_during1_sd","revenue_week_after1_sd","revenue_month_before2_sd","revenue_week_before2_sd","revenue_during2_sd","revenue_week_after2_sd","lootboxspend_2019_before1_sd","lootboxspend_month_before1_sd","lootboxspend_week_before1_sd","lootboxspend_during1_sd","lootboxspend_week_after1_sd","lootboxspend_month_before2_sd","lootboxspend_week_before2_sd","lootboxspend_during2_sd","lootboxspend_week_after2_sd","playtime_2019_before1_sd","playtime_month_before1_sd","playtime_week_before1_sd","playtime_during1_sd","playtime_week_after1_sd","playtime_month_before2_sd","playtime_week_before2_sd","playtime_during2_sd","playtime_week_after2_sd"
"21","ROW","android","severe detractor","NaN",3497,138.530170255626,69.1890195592315,14.7397128205078,3.51410108205916,12.5847435048227,34.9000088515329,0.476340975115636,0.123715292850809,0.673243076126851,41026.97169002,20362.5907921075,4077.46925936517,1361.10380325994,4147.84958535888,11050.9765513297,235.251644266514,36.6171003717472,252.227623677438,447201.407492136,210916.951386903,45837.2873891908,15603.4975693451,40950.1272519302,105793.402344867,1376.45953674584,207.933085501866,1580.84358021168,474.219615437196,258.944988331992,82.9935818862103,27.6091854784813,61.5038808453031,161.005186519287,13.7861237141885,5.09685459255672,14.1275395039213,68286.8646647888,37672.0901994696,10889.0882876641,3293.76769767668,8697.76405466349,22281.5737858603,1694.9896913946,662.65508747703,2016.65404079492,426896.682782719,205491.470720181,49366.5299169454,16687.1489663045,44464.0965339024,112560.542732863,7113.16129863011,1797.05058387724,9957.04128486924
"22","ROW","android","severe detractor","detractor",1683,129.449439919314,64.0120094309367,14.2964662603095,3.53164851341414,12.7159898577262,70.5256207540409,17.350100616084,7.30384312196307,21.0317939903276,39934.0623885918,19674.9774212715,3958.30065359477,1276.23291740939,4167.02911467617,19901.1229946524,4767.62923351159,1296.50029708853,4689.32857991682,450776.534759358,213140.757575757,47435.5698158051,15766.7712418301,41443.2549019608,189069.389185977,40329.0077243018,11444.5763517528,43801.5680332739,424.594052577391,233.117213247811,68.6808532945263,25.8686311809105,56.5980786349335,186.232396457742,68.8799047332776,25.3593160884563,80.6411460430297,61576.5110970677,33425.5002305751,9128.30292835882,3173.52434803517,8215.37603618469,25254.0575550736,9471.71923381068,3109.45312613148,9830.92390512492,438953.817702387,214506.992546819,52558.5089699602,17020.7829188492,45737.8529635533,145668.622911368,41458.1761715515,12956.1204139243,46087.5994597519
"23","ROW","android","severe detractor","passive",1082,139.81114438634,73.0368017290321,13.0969115425592,2.47151516795266,13.4048702911206,68.6996484051373,15.5880664264754,7.13811481614476,18.9786743473796,40411.2541589649,20400.6164510166,3872.67097966728,1172.10720887246,4091.81146025878,19128.0961182994,4413.15157116451,1263.47504621072,4423.3179297597,421694.550831793,199621.519408503,43217.2726432533,14782.5526802218,39011.9676524954,175093.541589649,37356.4334565619,10966.9907578558,41097.6284658041,590.164686342699,341.821206755004,77.7765767093886,15.1531123240931,63.7008676040932,201.94418022783,78.7532607285956,25.0254154441256,69.7714561162075,77258.8804262343,43509.7427156503,9878.64376179727,2376.11036326826,8583.1767583493,25424.675876236,9378.77086928946,3633.32818680997,8429.17387907357,408425.999200998,198658.568774703,49000.1699123578,16265.1712329529,43392.024608645,132376.067734999,37390.5799767643,12275.195910983,41469.5022267782
"24","ROW","android","severe detractor","promoter",1453,115.152209548519,59.8036660262686,12.3734366847197,1.68917082569531,9.43320571243243,52.7222468495422,15.4256657092309,6.61032658305014,16.6800020257528,37749.8169304886,18951.434273916,3853.22780454233,1052.37439779766,3696.00825877495,17161.3592567103,4173.13145216793,1302.04404679972,4004.34618031659,439997.020646937,208505.55264969,46380.7302133517,15449.2512044047,40457.9421885754,172976.649690296,34957.4755677908,10327.8245010323,38703.1679284239,392.197544717621,250.43049314359,94.5610173863006,9.06156190218899,43.839425761563,142.134016664564,72.0060786400883,25.6800140206702,71.9190211037717,57731.7963145864,35294.7858268421,12637.240833996,1779.77702899911,6095.00075412377,20434.311324286,9392.66033393557,2653.49976539391,9312.98157291529,432474.05448744,209378.157323019,50605.5497218603,16597.1210524877,43924.1024335196,135786.061722911,37021.8492363689,11713.0014512684,42883.7496935488
"25","ROW","android","severe detractor","severe detractor",774,93.2740997416183,44.941705322568,7.65220239822956,2.07046215343956,8.12260883348394,66.811337685235,22.9583645385681,6.43156590718015,30.6241149580952,35193.5426356589,17001.850129199,3107.39018087855,1131.62790697674,3520.54263565891,19737.7196382429,5744.16020671835,1187.10594315245,5663.95348837209,465851.488372093,217454.519379845,47873.5607235142,15309.3449612403,42364.9870801034,202169.665374677,46245.5452196382,13424.4418604651,50017.196382429,255.102170353629,132.464996915913,38.1113665448731,11.5309145231545,35.3179791929919,158.941112686539,92.7533439512454,20.6210004965529,117.78877378465,41983.0358492005,21577.2405548528,5267.58062104217,1821.90216224508,5551.64346051409,23341.9039985399,12688.5472804472,2242.98766903823,14341.8189377377,443196.204408893,214274.296309341,52238.1807713817,16552.4690212589,46384.1900487214,155864.964889867,46041.4990389269,14384.1371075826,52872.5522067114
"26","ROW","ios","NaN","NaN",2007,7.77988239373939,3.51216530343853,0.458796851584295,0.182981159849133,0.40932662902561,2.81370512125509,0.442698779793055,0.103378291486098,0.215025694907266,4225.88340807175,1995.08619830593,337.797708021923,164.544095665172,446.357747882412,1659.03338315894,238.522670652716,38.4803188839063,213.729446935725,30023.1808669656,13541.1031390134,2991.096163428,1512.47782760339,3065.49128051819,10838.460886896,1330.49277528647,200.739910313907,1286.03537618334,77.5567555490218,52.7961100532968,6.29818916531515,3.69922157475356,7.2334858908411,29.8054824789958,7.81532404747887,1.76082657570489,4.03270323866681,12950.5427486998,7244.32089972202,1609.2870528527,697.54796211115,1682.59251894632,5094.38570293905,1353.94492936164,366.576455318014,991.189429719674,95633.8531450068,43214.305792531,10619.7051264292,3643.3941118713,9933.29271336595,30786.880973818,6058.76261167795,1728.53610720023,7013.61282746393
"27","ROW","ios","NaN","detractor",959,7.76454474699627,4.8733494591183,0.288945264706249,0.155191704901886,0.487004188031857,30.6522990214656,10.7489062912164,7.46936058911168,17.3567475724874,3884.75495307612,2168.56100104275,349.343065693431,163.993743482795,426.433785192909,9472.30969760167,3999.60896767466,1246.14181438999,4263.89989572471,25953.4588112617,12191.0166840459,2809.08237747654,1488.25860271116,2867.50052137643,88885.6579770594,40037.8289885297,11040.4619395203,42252.8686131387,69.3367092314883,63.0068191425985,3.99246840763466,3.60621358527192,6.68316868132347,104.153052711472,39.0756228423912,25.206813809747,68.1278409023067,13096.0492981922,9991.36695276182,1233.36576605319,524.634482523867,1669.91592913575,14463.6497251069,5889.78097784424,2828.7982991066,8296.82769849083,87722.0951964415,40034.849541438,9744.9640944962,3541.19553810702,10034.9164385539,86550.3203866101,40340.8694738993,12289.4377666522,44214.9850100138
"28","ROW","ios","NaN","passive",642,10.2267280581927,3.46947871562228,0.268463434324113,0.185301957443529,0.328486621492964,44.802852912276,23.4407273675427,8.07785434288285,22.8134973458081,4635.17445482866,2172.8691588785,365.669781931464,188.16199376947,415.249221183801,11229.6728971963,5202.29750778816,1403.73831775701,5145.70093457944,28436.2040498442,12516.1308411215,2390.01869158879,1576.41588785047,2747.48598130841,91428.6869158878,41539.4392523364,11996.46105919,44296.7585669782,96.2700731139964,39.0011181020229,3.40282984385283,2.87149141429265,4.35104018349018,180.692287780006,110.469587991653,30.9783119890747,85.0153575915912,17049.9632434473,7277.49470412047,1006.46782154688,753.739746558688,1197.52097687431,23018.2468362023,12495.1120075571,3006.20490094314,11945.2186032673,84964.3525623203,35089.5444955675,7336.08378224926,3409.97434533104,7791.10838857862,81521.1861499701,39053.3373140737,12570.2588490151,42864.7415701723
"29","ROW","ios","NaN","promoter",871,17.927335614558,10.9601891112395,1.81916836558632,0.156215810008415,2.40213946078325,33.4900788889464,14.2801737653976,7.99196241331421,16.8723928834005,5397.79219288174,3009.12399540758,590.849598163031,182.881745120551,659.954075774971,9310.34443168772,4135.8840413318,1402.53731343284,4120.38461538462,31924.0321469575,15485.858783008,3289.40987370838,1707.04822043628,3558.80941446613,80643.794489093,35422.2617680827,10624.7256027555,39936.1894374282,181.032853035977,118.562112378378,23.9204955784954,1.90901640183791,29.7190337535391,135.824256874606,67.8490495861836,38.6570548943596,68.5274275079668,25198.2797586403,16547.6325447925,3500.36700395983,602.190891584852,3668.94159284138,18390.9733354724,9025.64436641878,3679.02124080205,9025.8610883607,111011.073896768,54073.6007291511,13231.9999901265,4696.76691195745,11892.5036609981,84116.3318476346,38148.1383682557,12431.2817925679,45109.4232499401
"30","ROW","ios","NaN","severe detractor",482,11.0252488133783,5.40011730775556,0.521582451817274,0.0792193658424157,1.98825015516431,43.7879445682091,15.0715331034568,7.31481954162739,21.9573326343625,3909.79253112033,1901.68049792531,292.572614107884,179.128630705394,570.082987551867,11937.479253112,4940.4356846473,1336.85684647303,4877.13692946058,20665.2323651452,9048.63278008299,1825.48132780083,1375.43360995851,2524.377593361,102902.197095436,46473.1846473029,13277.2489626556,47742.887966805,126.391759177632,55.0067482658861,6.97696376840596,1.20122649978014,37.4745885003318,153.958339097131,52.7963245020388,28.1888407455288,66.330256095374,18549.2332234873,8637.74670061733,1226.46866430786,565.519344452415,4148.13005404622,21235.0361505842,8594.68632783171,3210.26555177861,8722.84241102481,68583.6291955904,30303.734998523,5996.07198975325,2761.95168211462,7817.24998214351,104942.63581146,50231.5596189457,15378.2706218335,53013.2801544657
"31","ROW","ios","detractor","NaN",2619,125.242699063351,66.6554889050798,14.0311222805789,2.7984708079819,12.2836878450808,35.2172371265474,0.65877382593807,0.123342508432368,0.76980666189693,36129.7334860634,18506.6063382971,3689.54562810233,1143.50897289042,3830.54600992745,10326.2447499045,265.69492172585,35.754104620084,252.995418098511,310665.204658267,151847.528064147,34130.0519282169,11173.3646429935,30328.381443299,79205.203130966,1506.21802214588,257.850324551365,1615.90568919436,534.371513314351,304.853213491059,91.4127232011735,20.2359010394174,73.0607185209394,133.223005670343,11.5226340951884,1.91056505809521,15.4925680681138,64892.5159570328,36899.0700454899,10556.305357262,2613.05160215608,9206.62761406925,17922.5180508191,1758.4261820167,321.161076157396,2067.48893005874,307730.435209214,152838.379092843,38361.8548995908,12706.0067469109,34519.793175732,86239.9409531807,6942.81643316621,1892.9019363841,9933.21380103169
"32","ROW","ios","detractor","detractor",1267,152.526591840711,78.7517452339255,17.6324778390409,3.33578034687788,13.9311779510875,74.1514961436104,14.8322035835307,7.26362155479852,23.8322270932796,40246.1760063141,20343.3820047356,4214.35674822415,1336.40883977901,4129.28966061563,19465.4617205998,4256.1681136543,1214.4909234412,4971.00236779795,325324.977900552,159569.414364641,35971.7482241515,11969.3251775849,31789.1973164957,157145.344119968,37461.4127861089,10902.4925019732,41700.0962904499,664.230023520049,303.749766808376,78.273923212445,16.2354876259075,57.1617665983762,194.473881165604,70.7763886879386,31.0756793902855,101.358151282805,81523.3366203339,38894.7662747373,9316.68656016224,2611.13280063349,8051.37415099733,25840.615396538,9029.45862397163,3332.24415419933,12532.8785665345,320066.27553843,160677.732523737,39725.3044500187,13226.6373431649,34800.4578234157,122042.881307561,39349.94904368,12676.6421645354,43848.5356294299
"33","ROW","ios","detractor","passive",833,164.745178391092,87.8419987626162,19.270744172018,4.14180725236714,18.4226039557458,76.5060298332104,14.2258405357102,7.06245168505859,18.5891970981926,41249.4609843938,20945.1032412965,4341.04441776711,1438.99159663866,4591.75270108043,19977.8331332533,4308.58343337335,1231.92076830732,4319.77791116447,320870.955582233,155931.240096038,35486.2509003601,11690.81272509,31254.237695078,155853.190876351,37828.3205282113,10856.5450180072,42357.4525810324,577.864626555732,329.504617483912,103.473567250783,25.1707308480024,79.9904944318775,197.341150259048,51.1920177443268,22.0546515132614,64.0756857277793,76136.0295563286,44175.5376126509,12814.2828211485,3335.53841680432,9798.7574909605,26804.4054531953,7441.95004060042,2271.98550196049,7983.24223177189,322342.414263572,160161.866134198,40350.5525637828,13308.2296812363,34693.0310915381,111485.451159906,35011.1144817486,11384.3096735579,41440.3863304482
"34","ROW","ios","detractor","promoter",1034,114.044389377084,61.2112347381418,14.2503858737816,2.07732552614219,11.6338659416521,66.9792330236069,16.4062931010671,8.24681364425715,18.7073901830306,34877.6324951644,17919.2185686654,3684.74854932302,1054.2746615087,3660.13539651838,18373.5444874275,4472.22437137331,1462.02127659574,4293.40425531915,310725.935203095,152121.947775629,34282.9042553191,11488.6063829787,29754.4941972921,152788.558994197,37650.4400386847,10932.7949709865,41611.6798839458,407.019475203114,238.712119435847,66.4360076876404,12.4624731722139,60.0440623704136,197.751223481334,86.5646375107555,36.8171036725539,80.2655367237357,55704.8801720801,31415.9950287165,8257.94560524525,2054.46372715407,7612.52895413132,27024.1672260913,11357.7333162564,3974.68290399994,10679.5194231034,310360.713725812,155680.271031137,39055.0259643743,13029.367256559,34388.6953348477,118680.153955484,39521.7853729757,12180.2054417258,46139.4524240097
"35","ROW","ios","detractor","severe detractor",577,143.719518543612,67.7828576370026,13.4574188178179,2.87170289298735,14.7724747900748,66.3350015336675,16.9665451514064,7.90845965664566,25.0107597995573,38999.5181975737,18463.7469670711,3649.87868284229,1023.62218370884,4161.29982668977,19485.6152512998,4997.287694974,1345.49393414211,5401.11785095321,321409.289428076,151647.317157712,34182.0502599653,10866.6221837088,29758.7244367418,173249.750433276,46450.431542461,13248.6169844021,50549.0485268631,607.037517150292,292.91267313567,58.3825267469238,15.6486795373083,66.3834211777389,130.718997750062,57.467160715679,26.3991533442868,77.943137555487,73854.8602971665,35367.7683414323,6974.77472399895,2012.7361531718,8209.80990580548,19045.2622451655,8065.90763799876,3091.34886737838,10345.5961556572,304769.702742003,146827.63478416,36433.42266018,11913.4323253293,32011.9456922265,125226.246758992,47501.2087112577,15146.1860136812,53833.0825128419
"36","ROW","ios","passive","NaN",1582,104.542608910114,56.1927764938572,12.9664339333796,2.97797559996584,12.1301877744501,33.8768836838638,0.204067058347463,0.0337114268210234,0.499249844348503,33135.5164348925,17058.9424778761,3728.46396965866,1244.44374209861,3788.6788874842,10062.8666245259,227.585335018963,25.1959544879899,209.92414664981,300816.077749684,149662.185840708,34981.4917825537,12006.6694058154,29996.5069532238,77486.3034134008,1226.94943109985,158.405815423515,1104.20733249053,363.430320648543,199.881271566493,56.9674152080807,18.9842568958441,63.9337356647335,183.691608137007,3.95448397022429,1.01802682100421,12.413877307774,50254.1931261809,26995.9652459565,7208.47844712991,2679.79122315141,7687.30800252364,21804.2851456195,1060.15120291503,238.34368008853,1383.22812465747,293245.802231918,146091.634927256,36558.0796341035,12925.088280115,31461.2001739116,78411.2572291248,6259.86670192285,1088.50804108801,6846.33021307498
"37","ROW","ios","passive","detractor",765,144.263113912385,71.6820306319652,17.7425721830004,3.64833214804226,14.9746083614369,68.1643707824079,14.1374148815933,8.53077979784886,19.5956530457072,37621.6549019608,18901.6810457516,4239.05882352941,1368.52287581699,4189.7908496732,18907.6928104575,4401.97385620915,1337.81045751634,4419.43137254902,308308.512418301,151704.777777778,35841.585620915,12046.8052287582,30927.4705882353,155156.405228758,39056.7699346405,11221.4954248366,41713.2078431373,623.136961847683,314.260548323887,91.2681319991278,19.6843244556711,86.7547427703467,224.200628747701,64.7977310639759,33.874193150121,64.4492933506348,79302.2582275606,40619.5891456831,11139.8465921807,2819.44404095293,11103.3082286821,28895.3383270118,8949.97094232298,3544.89587857568,8591.2763824195,311176.011637109,152782.21196658,39807.4390050186,13597.4431467186,34175.0108485064,116779.840609883,40611.1684367786,12748.7964474156,42281.490012231
"38","ROW","ios","passive","passive",512,90.7082534155277,42.5842798186635,9.08860438772371,2.46500067504477,10.2540581522305,60.9303521338695,14.511171741266,8.86804690982841,27.7128728907389,30346.556640625,15137.025390625,3260.41015625,1053.92578125,3668.76953125,17881.494140625,4437.83203125,1327.939453125,5547.2265625,298972.236328125,147398.61328125,34191.287109375,11578.099609375,29978.5546875,159250.203125,39648.69140625,11467.744140625,43604.068359375,391.043955596795,199.344525327799,48.8457472430081,13.811358266359,50.3074588857426,143.820820200101,53.3522985476134,39.9090797911957,161.657974549386,49701.5489355776,25551.5726344061,6412.12263304346,1795.3100507806,7273.189504415,19687.9460664892,7292.06945217956,4350.84311534337,20912.832620727,298001.769333543,149734.758840571,37955.5564347001,12818.7326710337,33720.0736178828,121064.587149798,40001.633564472,12070.9270700997,43149.7484536551
